zipcode,area_land_meters,area_water_meters
68066,234695785.0,2793848.0
94551,203775176.0,712434.0
92264,135018843.0,243771.0
63880,406711.0,2520.0
76655,197742701.0,1137215.0
39059,412453232.0,880538.0
83110,382231902.0,138894.0
71643,281865347.0,14800575.0
79502,1690403648.0,8616599.0
85354,1550055830.0,4785.0
63114,22846752.0,42662.0
51247,289432068.0,218317.0
67837,622954621.0,431768.0
73481,196200255.0,966420.0
70730,178098787.0,614143.0
64436,82986908.0,1270551.0
89081,19284131.0,112001.0
85605,847076075.0,398197.0
39144,297742443.0,161322.0
68826,375457466.0,7202462.0
77534,93226912.0,3935656.0
74724,82916081.0,130778.0
75755,270407674.0,4024720.0
67047,415026168.0,11392952.0
73663,350960984.0,956092.0
68070,169061019.0,483868.0
95023,1067524258.0,1951193.0
76055,230659128.0,1625521.0
87522,404512170.0,461996.0
39213,74393872.0,1785189.0
80535,114702126.0,328409.0
95363,305162638.0,1236641.0
87117,50394213.0,188966.0
69356,329911739.0,8917240.0
75228,29544517.0,43527.0
77461,382955021.0,6725002.0
76446,1086271865.0,10295405.0
72933,295449155.0,1572425.0
75155,98553617.0,1606184.0
82059,217893208.0,390136.0
88119,4467955514.0,28385911.0
74644,199672041.0,4024984.0
84086,258976451.0,110047.0
66024,11601578.0,1808830.0
71964,89176497.0,121527.0
68788,498055291.0,5843415.0
65232,63974663.0,298961.0
94571,304667366.0,53655696.0
93245,305280283.0,189883.0
70647,466332742.0,5609869.0
67061,296087831.0,972272.0
78656,55446445.0,304458.0
67752,746256132.0,60610.0
80229,33025125.0,2090733.0
86004,1975330773.0,494885.0
81055,666206658.0,573120.0
70517,362730694.0,19730278.0
38107,13990339.0,202129.0
93638,245614871.0,1575683.0
67058,560618391.0,548097.0
65014,339002977.0,1493712.0
78067,374029156.0,6581679.0
66514,41949495.0,205933.0
93534,46020157.0,956150.0
57562,285599789.0,556767.0
77480,370055526.0,6151850.0
66401,612440787.0,2736388.0
78748,32834710.0,3309.0
62240,42030015.0,2694014.0
75039,13609247.0,888389.0
73742,603565687.0,3915784.0
73169,17217094.0,53059.0
77803,33284465.0,3553.0
62048,19731981.0,1405193.0
51047,199489820.0,589101.0
65552,384606562.0,1106965.0
75236,32345624.0,1124873.0
77320,823381279.0,44735171.0
76645,433723197.0,10077290.0
78606,633386511.0,1499286.0
57268,164661260.0,16481.0
66532,228294284.0,297544.0
86046,3785141373.0,1510099.0
76442,1156845380.0,15495069.0
79533,373056237.0,855508.0
84001,58536784.0,114075.0
74437,540431159.0,28095256.0
72714,49109210.0,869107.0
64658,245015345.0,2084260.0
78609,60788625.0,32525410.0
62028,15291373.0,2358695.0
72353,84112124.0,2452644.0
92075,9172786.0,1218237.0
39629,403048409.0,345583.0
62375,116197910.0,45384.0
61413,82432125.0,110031.0
63370,624294.0,2792.0
76048,281055546.0,15143132.0
87461,787116661.0,1192856.0
92115,16845692.0,54358.0
61242,81285878.0,6896964.0
65020,323237719.0,26486304.0
72013,253582832.0,4219498.0
79781,1735030839.0,64199.0
73131,31137541.0,55855.0
82222,1055010487.0,836484.0
93225,459047343.0,119193.0
65466,483790651.0,123234.0
77474,538766106.0,10076731.0
84714,1029313005.0,181211.0
64491,292142550.0,111105.0
93257,1152444232.0,10922678.0
93725,169540595.0,349250.0
74576,122401240.0,753300.0
92101,12218128.0,526090.0
80212,9249943.0,1093075.0
72030,135918482.0,1845980.0
73048,484629721.0,787635.0
63462,316339404.0,20113195.0
65074,237980929.0,755632.0
63674,8758850.0,38088.0
75457,348772773.0,11176687.0
70646,18134507.0,353907.0
38940,385569253.0,3930143.0
64771,105575551.0,450789.0
95632,287137061.0,1262932.0
57730,1382948372.0,1465361.0
39088,126936744.0,3163299.0
91746,14425427.0,487233.0
89512,16336615.0,43436.0
69335,267123921.0,2563395.0
79062,231510497.0,281931.0
94508,45184716.0,413187.0
51347,218919085.0,5009433.0
94574,330686458.0,5409337.0
71820,49328306.0,922064.0
80742,1154882975.0,25230.0
71270,529834074.0,1250237.0
77316,326830068.0,1928080.0
77076,12363603.0,1252.0
57020,41974594.0,9675.0
67952,465395133.0,463610.0
80758,1798088196.0,1534726.0
65282,31853287.0,1685074.0
87014,572804464.0,757031.0
77014,18585186.0,30139.0
72466,319528519.0,691992.0
51006,211664150.0,807254.0
68340,163227189.0,261168.0
75069,82911495.0,1807149.0
56283,458704913.0,2653550.0
86435,3222821912.0,8439979.0
90039,9764930.0,514095.0
79520,504420078.0,3557480.0
61275,87161758.0,3458309.0
